CRN CTYPE CODE RSEAT STIME ETIME DAY SEM SUBJ 
73381 Lec SOFE3720U 31 1410 1530 6 201601 SOFE 
73381 Lec SOFE3720U 31 1540 1700 4 201601 SOFE 
73381 Lec SOFE3720U 31 1410 1530 1 201601 SOFE 
73381 Lec SOFE3720U 31 1540 1700 9 201601 SOFE 
73382 Tut SOFE3720U 31 1540 1700 3 201601 SOFE 
73382 Tut SOFE3720U 31 1540 1700 8 201601 SOFE 
73383 Lec SOFE3960U 20 0940 1100 1 201601 SOFE 
73383 Lec SOFE3960U 20 0810 0930 8 201601 SOFE 
73383 Lec SOFE3960U 20 0940 1100 6 201601 SOFE 
73383 Lec SOFE3960U 20 0810 0930 3 201601 SOFE 
73384 Tut SOFE3960U 3 1110 1230 9 201601 SOFE 
73384 Tut SOFE3960U 3 1110 1230 4 201601 SOFE 
73690 Tut SOFE3960U 17 1410 1530 4 201601 SOFE 
73690 Tut SOFE3960U 17 1410 1530 9 201601 SOFE 
73385 Lec SOFE3980U 21 1710 1830 6 201601 SOFE 
73385 Lec SOFE3980U 21 1710 1830 4 201601 SOFE 
73385 Lec SOFE3980U 21 1710 1830 9 201601 SOFE 
73385 Lec SOFE3980U 21 1710 1830 1 201601 SOFE 
73386 Tut SOFE3980U 0 1410 1530 7 201601 SOFE 
73386 Tut SOFE3980U 0 1410 1530 2 201601 SOFE 
73387 Tut SOFE3980U 9 1540 1700 7 201601 SOFE 
73387 Tut SOFE3980U 9 1540 1700 2 201601 SOFE 
73388 Tut SOFE3980U 12 1410 1530 5 201601 SOFE 
73388 Tut SOFE3980U 12 1410 1530 10 201601 SOFE 
73766 Lec SOFE4590U 25 1240 1400 9 201601 SOFE 
73766 Lec SOFE4590U 25 1110 1230 1 201601 SOFE 
73766 Lec SOFE4590U 25 1110 1230 6 201601 SOFE 
73766 Lec SOFE4590U 25 1240 1400 4 201601 SOFE 
73767 Lab SOFE4590U 12 1110 1400 3 201601 SOFE 
73768 Lab SOFE4590U 13 1110 1400 8 201601 SOFE 
73394 Lec SOFE4840U 25 0940 1100 1 201601 SOFE 
73394 Lec SOFE4840U 25 0810 0930 8 201601 SOFE 
73394 Lec SOFE4840U 25 0940 1100 6 201601 SOFE 
73394 Lec SOFE4840U 25 0810 0930 3 201601 SOFE 
73812 Lab SOFE4840U 25 1410 1700 4 201601 SOFE 
73670 Lec SOFE4870U 22 1540 1700 6 201601 SOFE 
73670 Lec SOFE4870U 22 1410 1530 8 201601 SOFE 
73670 Lec SOFE4870U 22 1540 1700 1 201601 SOFE 
73670 Lec SOFE4870U 22 1410 1530 3 201601 SOFE 
70715 Lec RADI4220U 2 0940 1100 10 201601 RADI 
70715 Lec RADI4220U 2 0810 0930 7 201601 RADI 
70715 Lec RADI4220U 2 0940 1100 5 201601 RADI 
70715 Lec RADI4220U 2 0810 0930 2 201601 RADI 
70717 Tut RADI4220U 2 1110 1300 1 201601 RADI 
70703 Lec RADI4320U 8 1110 1400 9 201601 RADI 
70703 Lec RADI4320U 8 1110 1400 4 201601 RADI 
72078 Lec POSC1000U 38 1110 1400 10 201601 POSC 
72078 Lec POSC1000U 38 1110 1400 5 201601 POSC 
72079 Lec POSC1000U 225 1110 1400 10 201601 POSC 
72079 Lec POSC1000U 225 1110 1400 5 201601 POSC 
72080 Lec POSC2000U 29 1110 1400 3 201601 POSC 
72080 Lec POSC2000U 29 1110 1400 8 201601 POSC 
43255 Lec ELEE2110U 8 0810 0930 4 201509 ELEE 
43255 Lec ELEE2110U 8 0940 1100 2 201509 ELEE 
43255 Lec ELEE2110U 8 0810 0930 9 201509 ELEE 
43255 Lec ELEE2110U 8 0940 1100 7 201509 ELEE 
43256 Tut ELEE2110U 0 0940 1100 10 201509 ELEE 
43256 Tut ELEE2110U 0 0940 1100 5 201509 ELEE 
43257 Tut ELEE2110U 0 1540 1700 7 201509 ELEE 
43257 Tut ELEE2110U 0 1540 1700 2 201509 ELEE 
43258 Tut ELEE2110U 24 1540 1700 6 201509 ELEE 
43258 Tut ELEE2110U 24 1540 1700 1 201509 ELEE 
43929 Tut ELEE2110U 24 1540 1700 6 201509 ELEE 
43929 Tut ELEE2110U 24 1540 1700 1 201509 ELEE 
43930 Lec ELEE2110U 40 1110 1230 2 201509 ELEE 
43930 Lec ELEE2110U 40 1240 1400 10 201509 ELEE 
43930 Lec ELEE2110U 40 1110 1230 7 201509 ELEE 
43930 Lec ELEE2110U 40 1240 1400 5 201509 ELEE 
43259 Lec ELEE2200U 42 1240 1400 3 201509 ELEE 
43259 Lec ELEE2200U 42 1240 1400 8 201509 ELEE 
43259 Lec ELEE2200U 42 1110 1230 10 201509 ELEE 
43259 Lec ELEE2200U 42 1110 1230 5 201509 ELEE 
43260 Lab ELEE2200U 0 1110 1400 1 201509 ELEE 
43261 Lab ELEE2200U 4 1110 1400 6 201509 ELEE 
43262 Lab ELEE2200U 7 1840 2130 2 201509 ELEE 
43263 Lab ELEE2200U 3 1840 2130 7 201509 ELEE 
43264 Lab ELEE2200U 20 1840 2130 4 201509 ELEE 
43265 Lab ELEE2200U 8 1840 2130 3 201509 ELEE 
43266 Tut ELEE2200U 0 1540 1700 3 201509 ELEE 
43266 Tut ELEE2200U 0 1540 1700 8 201509 ELEE 
43267 Tut ELEE2200U 42 1110 1230 9 201509 ELEE 
43267 Tut ELEE2200U 42 1110 1230 4 201509 ELEE 
43269 Lec ELEE2790U 18 0810 0930 4 201509 ELEE 
43269 Lec ELEE2790U 18 0940 1100 2 201509 ELEE 
43269 Lec ELEE2790U 18 0810 0930 9 201509 ELEE 
43269 Lec ELEE2790U 18 0940 1100 7 201509 ELEE 
43270 Lab ELEE2790U 3 1540 1700 2 201509 ELEE 
43271 Lab ELEE2790U 5 1240 1400 7 201509 ELEE 
43272 Lab ELEE2790U 0 0940 1100 3 201509 ELEE 
43273 Lab ELEE2790U 0 1110 1230 7 201509 ELEE 
43274 Lab ELEE2790U 10 1410 1530 2 201509 ELEE 
43277 Tut ELEE2790U 0 1110 1300 3 201509 ELEE 
43277 Tut ELEE2790U 0 1110 1300 8 201509 ELEE 
43278 Tut ELEE2790U 18 1310 1500 10 201509 ELEE 
43278 Tut ELEE2790U 18 1310 1500 5 201509 ELEE 
43280 Lec ELEE3110U 55 1710 1830 6 201509 ELEE 
43280 Lec ELEE3110U 55 1840 2000 3 201509 ELEE 
43280 Lec ELEE3110U 55 1840 2000 8 201509 ELEE 
43280 Lec ELEE3110U 55 1710 1830 1 201509 ELEE 
43281 Tut ELEE3110U 26 1710 1830 3 201509 ELEE 
43281 Tut ELEE3110U 26 1710 1830 8 201509 ELEE 
43282 Lab ELEE3110U 26 1610 1900 5 201509 ELEE 
43283 Lab ELEE3110U 29 1610 1900 10 201509 ELEE 
43285 Tut ELEE3110U 29 1540 1700 7 201509 ELEE 
43285 Tut ELEE3110U 29 1540 1700 2 201509 ELEE 
43286 Lec ELEE3140U 6 0940 1100 8 201509 ELEE 
43286 Lec ELEE3140U 6 0810 0930 5 201509 ELEE 
43286 Lec ELEE3140U 6 0940 1100 3 201509 ELEE 
43286 Lec ELEE3140U 6 0810 0930 10 201509 ELEE 
43287 Lab ELEE3140U 0 1110 1400 4 201509 ELEE 
43288 Lab ELEE3140U 0 1110 1400 9 201509 ELEE 
43289 Lab ELEE3140U 6 1840 2130 5 201509 ELEE 
43290 Lab ELEE3140U 0 1110 1400 7 201509 ELEE 
43291 Tut ELEE3140U 0 1410 1530 5 201509 ELEE 
43291 Tut ELEE3140U 0 1410 1530 10 201509 ELEE 
43292 Tut ELEE3140U 6 1540 1700 7 201509 ELEE 
43292 Tut ELEE3140U 6 1540 1700 2 201509 ELEE 
43931 Lab ELEE3140U 0 1110 1400 2 201509 ELEE 
43293 Lec ELEE3180U 32 1710 1830 7 201509 ELEE 
43293 Lec ELEE3180U 32 1840 2000 4 201509 ELEE 
43293 Lec ELEE3180U 32 1710 1830 2 201509 ELEE 
43293 Lec ELEE3180U 32 1840 2000 9 201509 ELEE 
43294 Lab ELEE3180U 0 1540 1700 6 201509 ELEE 
43294 Lab ELEE3180U 0 1540 1700 1 201509 ELEE 
43295 Lab ELEE3180U 0 1110 1230 1 201509 ELEE 
43295 Lab ELEE3180U 0 1110 1230 6 201509 ELEE 
43296 Lab ELEE3180U 17 0940 1100 1 201509 ELEE 
43296 Lab ELEE3180U 17 0940 1100 6 201509 ELEE 
43297 Tut ELEE3180U 11 0940 1100 9 201509 ELEE 
43297 Tut ELEE3180U 11 0940 1100 4 201509 ELEE 
43298 Lab ELEE3180U 15 0940 1100 2 201509 ELEE 
43298 Lab ELEE3180U 15 0940 1100 7 201509 ELEE 
43299 Lec ELEE3230U 17 1240 1400 3 201509 ELEE 
43299 Lec ELEE3230U 17 1240 1400 8 201509 ELEE 
43299 Lec ELEE3230U 17 1110 1230 10 201509 ELEE 
43299 Lec ELEE3230U 17 1110 1230 5 201509 ELEE 
43300 Lab ELEE3230U 0 1110 1400 4 201509 ELEE 
43301 Lab ELEE3230U 0 1110 1400 9 201509 ELEE 
43303 Lab ELEE3230U 11 1840 2130 1 201509 ELEE 
43304 Tut ELEE3230U 17 1410 1530 4 201509 ELEE 
43307 Lab ELEE3230U 6 1840 2130 6 201509 ELEE 
43309 Lec ELEE3240U 40 1110 1230 3 201509 ELEE 
43309 Lec ELEE3240U 40 1240 1400 1 201509 ELEE 
43309 Lec ELEE3240U 40 1110 1230 8 201509 ELEE 
43309 Lec ELEE3240U 40 1240 1400 6 201509 ELEE 
43310 Tut ELEE3240U 40 1710 1830 4 201509 ELEE 
43310 Tut ELEE3240U 40 1710 1830 9 201509 ELEE 
43996 Lec ELEE3260U 34 1840 2000 10 201509 ELEE 
43996 Lec ELEE3260U 34 1840 2000 5 201509 ELEE 
43996 Lec ELEE3260U 34 1710 1830 3 201509 ELEE 
43996 Lec ELEE3260U 34 1710 1830 8 201509 ELEE 
43997 Lab ELEE3260U 12 1110 1400 2 201509 ELEE 
43998 Lab ELEE3260U 8 1110 1400 8 201509 ELEE 
43999 Lab ELEE3260U 12 1110 1400 3 201509 ELEE 
44000 Lab ELEE3260U 2 1110 1400 7 201509 ELEE 
44001 Tut ELEE3260U 19 1240 1400 9 201509 ELEE 
44001 Tut ELEE3260U 19 1240 1400 4 201509 ELEE 
